Recipient Org:Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360g-cabinetoffice-coventry_foodbank,1145193,115467,,1,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,,,1,,,,
360g-cabinetoffice-creative_academies,1162306,,1,1,,,,,,,1,,,,1,,,1,,1,1,1,1,1,,,,,,,1,1,1,,,
360g-cabinetoffice-creative_futures_(uk)_limited,1143459,214709,,1,,1,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,1,,,,
360g-cabinetoffice-creative_hands,1129887,47142,,1,,,,,,,1,,,,,,,,,1,,,1,1,1,1,,,,,,1,1,1,,
360g-cabinetoffice-creative_pathways,1150022,62814,,1,,,1,,,,,,,,1,,,,,1,1,,1,1,,,,,,,1,1,,,,
360g-cabinetoffice-credit_union_forum,SC029413,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-cremyll_keelboats,SC045975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-crescents_community_association,1030864,44245,1,1,,1,,,,,1,1,,1,,,,,,1,1,1,,1,1,1,,,,1,1,1,1,,,
360g-cabinetoffice-crewe_ymca,1030782,1430935,,1,,,,,1,1,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,
360g-cabinetoffice-cromwell_house_users_group,1105642,7529,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,
360g-cabinetoffice-crosbyone,1140797,11334,,1,,,,,1,1,1,1,,,,,,,,,,,,1,,1,,,,,1,1,,,,
360g-cabinetoffice-cross_keys_homes,1104746,61031000,1,1,1,1,1,,1,,,,,1,1,,1,,,1,1,1,1,1,1,1,,,,,1,1,1,,,
360g-cabinetoffice-cross_keys_homes,1104746,61031000,1,1,1,1,1,,1,,,,,1,1,,1,,,1,1,1,1,1,1,1,,,,,1,1,1,,,
360g-cabinetoffice-cross_keys_homes,1104746,61031000,1,1,1,1,1,,1,,,,,1,1,,1,,,1,1,1,1,1,1,1,,,,,1,1,1,,,
360g-cabinetoffice-cross_keys_homes,1104746,61031000,1,1,1,1,1,,1,,,,,1,1,,1,,,1,1,1,1,1,1,1,,,,,1,1,1,,,
360g-cabinetoffice-crossover_619,1041720,88972,,1,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-crown_of_life,1162171,0,,1,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,,1,,,1,,,
360g-cabinetoffice-crown_of_life,1162171,0,,1,,,,,,1,,,,,,,,,1,1,1,,,,1,,,,,1,,,1,,,
360g-cabinetoffice-croxteth_and_gillmoss_community_council,502955,98255,1,1,,1,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,1,1,,,,
360g-cabinetoffice-croydon_alevi_cultural_centre,1145567,47866,1,1,1,1,1,,1,1,1,,,,1,,1,,,1,1,,1,1,,1,1,1,,1,,1,1,,,
360g-cabinetoffice-croydon_refugee_day_centre,1064465,15056,1,1,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,,1,
360g-cabinetoffice-croydon_supplementary_education_project_(csep),1151850,102278,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-croydon_supplementary_education_project_(csep),1151850,102278,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-croydon_youth_theatre_organisation,1077861,39290,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360g-cabinetoffice-croydon_youth_theatre_organisation,1077861,39290,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360g-cabinetoffice-crystal_palace_fc_foundation,1125878,1116726,,1,1,1,1,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,1,,,,
360g-cabinetoffice-crystal_palace_fc_foundation,1125878,1116726,,1,1,1,1,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,1,,,,
360g-cabinetoffice-crystal_palace_fc_foundation,1125878,1116726,,1,1,1,1,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,1,,,,
360g-cabinetoffice-crystal_palace_fc_foundation,1125878,1116726,,1,1,1,1,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,1,,,,
360g-cabinetoffice-crystal_palace_fc_foundation,1125878,1116726,,1,1,1,1,,,,,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,1,,,,
360g-cabinetoffice-cudworth_community_enterprises,1080355,212387,1,1,,1,,,,,,1,,1,1,,,,,1,1,1,1,,1,1,,,,1,,1,1,1,,
360g-cabinetoffice-customs_house,1032846,2582093,,1,,,,,,,1,,,,,,,,,1,1,1,1,,,1,,1,,1,1,,1,1,1,1
360g-cabinetoffice-cypriot_elderly_and_handicapped_group,1065781,21485,,,1,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,,
360g-cabinetoffice-dale_park_community_group,1138669,0,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,1
360g-cabinetoffice-dallow_development_trust_ltd,1088329,174368,1,1,1,1,1,,,,1,1,,1,1,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,,,
360g-cabinetoffice-dance_action_zone_leeds,1106394,163023,,1,1,1,,,,,1,1,,,,,,,,1,,1,1,1,,1,,,,,,1,,,,
360g-cabinetoffice-darfield_area_amenity_society_limited,1095372,11240,,1,,,,,,,1,,,1,1,,,,,,,,,,,1,,1,,,1,,,1,,
360g-cabinetoffice-darlaston_all_active,1153707,62526,1,,,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,,1,,,,,
360g-cabinetoffice-darnall_dementia_group,1076551,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-darnall_forum,1121396,175623,,1,1,,1,,,,,1,,1,1,,,,,1,1,,,1,,1,1,,,1,,1,1,1,1,1
360g-cabinetoffice-darnhill_festival_association,1138567,27262,1,,,,,,,,1,,,,1,,,,,1,,,,,,1,,,,,,1,1,,,1
360g-cabinetoffice-dearne_valley_personal_development_centre,1170756,0,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,
360g-cabinetoffice-demesne_community_association,1061422,101411,1,1,1,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-derby_west_indian_community_association,517068,149675,1,1,,,,,,,1,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,,
360g-cabinetoffice-derby_west_indian_community_association,517068,149675,1,1,,,,,,,1,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,,
360g-cabinetoffice-derby_wheelblazers,1143129,2288,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,
360g-cabinetoffice-derwent_stepping_stones,1024544,920639,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-discoverers,1125400,24610,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,
360g-cabinetoffice-doncaster_amateur_players,1089831,2226,,1,,,,,,,1,,,,,,,,,1,1,1,1,,,1,,,,1,,,,,,
360g-cabinetoffice-doncaster_conversation_club,1159775,12881,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
360g-cabinetoffice-dora_phillips_hall,522212,10489,1,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,1,,,,,1
360g-cabinetoffice-dorothy_parkes_centre,1093189,130305,,1,1,,,,,,1,1,,,1,,,1,,1,1,1,,,,1,,,,,1,1,1,,,
360g-cabinetoffice-dot_to_dot,1116044,,1,1,1,,,,,,1,,,,1,,,,,1,1,1,1,,,1,,,,1,,1,,,,
360g-cabinetoffice-dove_house_hospice,509551,7433501,,1,1,1,,,,,,,,,,,,,,1,1,1,,,1,1,,,,,,1,1,1,,
360g-cabinetoffice-dreamcatchers,1121203,,1,1,,,,,,,,1,,,1,,,,,1,,,,1,,,,,,,,1,1,,,
360g-cabinetoffice-dudley_asian_women's_network,1086225,96416,1,1,1,,1,,,,1,1,,,1,,,,,1,1,,1,,1,,,1,,,,1,1,1,,
360g-cabinetoffice-dudley_community_church,1052773,97671,1,1,1,,1,1,,1,,,,,,,,,,1,1,,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-dudley_counselling_centre,1155864,79150,1,1,1,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,,1,1,1,,,1
360g-cabinetoffice-dudley_senior_citizens_forum,1143125,20578,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-e:merge,1152146,738569,1,1,1,1,,,,1,,1,,1,1,,1,1,1,1,,1,,,1,1,,,,1,1,1,1,,,1
360g-cabinetoffice-e17_puppet_project,1149880,49982,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-e17_puppet_project,1149880,49982,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-e17_puppet_project,1149880,49982,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-e17_puppet_project,1149880,49982,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-e17_puppet_project,1149880,49982,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-early_childhood_project,1068309,49709,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-east_birmingham_and_solihull_hard_of_hearing_club,700618,514,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
360g-cabinetoffice-east_end_community_development_alliance,1120816,,1,1,,,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,1,1,1,
360g-cabinetoffice-east_kent_mencap,220798,1684666,1,1,1,1,,,1,,1,1,,,1,,,1,,1,,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-east_kent_mencap,220798,1684666,1,1,1,1,,,1,,1,1,,,1,,,1,,1,,1,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-eastmoor_community_project,1157557,243758,,1,,,,,,,,,,,1,,,,,1,1,,,1,,1,,,,1,,1,1,,,
360g-cabinetoffice-easton_and_lawrence_hill_neighbourhood_management,1081691,120679,1,1,,,1,,1,,,,,1,1,,,,,,,,,,1,,,,,,1,1,1,,1,
360g-cabinetoffice-easton_and_lawrence_hill_neighbourhood_management,1081691,120679,1,1,,,1,,1,,,,,1,1,,,,,,,,,,1,,,,,,1,1,1,,1,
360g-cabinetoffice-easton_families_project,1109968,230487,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,
360g-cabinetoffice-easton_jubilee_trust,1096962,28544,,1,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-eastwood_friends_group,1115509,305,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-ebor_gardens_advice_centre,1013723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-eccles_community_hall_organisation,1152625,52139,,1,1,,,,,,1,,,1,1,,1,1,,1,1,1,1,1,,1,,,,,1,,,,,
360g-cabinetoffice-eccles_community_hall_organisation,1152625,52139,,1,1,,,,,,1,,,1,1,,1,1,,1,1,1,1,1,,1,,,,,1,,,,,
360g-cabinetoffice-eccles_street_pastors,1167645,6126,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-ecoworks,1151903,34568,1,1,,,,,,,,,,1,,,,,,1,1,1,1,1,,1,,,,,1,1,,,,
360g-cabinetoffice-edward_worlledge_junior_school,1047086,3162,1,1,,,,,,,,,,,1,,,,,1,,1,,,,1,,,1,,,1,,,,
360g-cabinetoffice-elderly_persons_social_centre,700181,0,,,1,1,,,,1,,1,,,,,,,,,1,1,1,,,,,,,,,,1,,,
360g-cabinetoffice-elevating_success_uk,1141070,172082,1,1,,,1,,,,1,1,,,1,,,,,1,1,1,1,1,,1,,,,,,1,1,,,
360g-cabinetoffice-elevating_success_uk,1141070,172082,1,1,,,1,,,,1,1,,,1,,,,,1,1,1,1,1,,1,,,,,,1,1,,,
360g-cabinetoffice-ellacombe_community_partnership,1165031,30599,1,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-ellesmere_childrens_centre,1082079,266053,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,
360g-cabinetoffice-ellesmere_youth_project,1085548,80210,1,,,,,,,,1,1,,,,,,,,1,,,,,1,1,,,,1,,1,1,1,,
360g-cabinetoffice-emerge_3rs,1132944,469829,1,1,1,,1,,,,,,,1,1,,,,1,,,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-empower_lincolnshire,1092072,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,
360g-cabinetoffice-empower_lincolnshire,1092072,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,1,
360g-cabinetoffice-empowered_to_succeed,1138722,1550,,1,,,1,,,,,,,,1,,,1,,1,,,,1,1,,,1,,,,1,1,,,
360g-cabinetoffice-endeavour_2013,1162878,8096,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-endike_community_care,1012857,177460,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-endike_community_care_association,1012857,177460,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-enfield_island_village_trust,1131604,269096,1,1,,,1,,,1,1,1,,1,1,,,,,1,1,,,,,1,,1,,,1,1,1,1,1,
360g-cabinetoffice-enfield_women's_centre,1108472,0,1,1,1,,1,,,,1,1,,1,1,,,,,,1,,,,1,1,,,,1,1,1,1,,,
360g-cabinetoffice-enthusiasm_trust,1087438,714256,,1,,,1,,,,1,1,,,1,,,1,,1,,,,1,1,1,1,1,,1,1,1,1,,,
360g-cabinetoffice-entraide,1142919,201113,1,1,1,,1,1,,,1,,,1,1,,1,1,1,1,1,,1,,1,1,,,,,,1,1,1,,1
360g-cabinetoffice-erdington_foodbank,1161641,8709,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-europia,1161453,,1,1,1,,1,,,,,,,,,,1,,,1,1,1,1,,,1,,,,,,1,1,,,
360g-cabinetoffice-evergreen_2000_trust,1077848,563,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,1
360g-cabinetoffice-exeter_community_initiatives,1026229,1092408,,1,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,1,,1,1,,1,
360g-cabinetoffice-exotics,1166622,,1,1,1,,,,,,,,1,,,,,,,1,1,1,,1,,1,,,,,,1,1,1,,
360g-cabinetoffice-eyres_monsell_club_for_young_people,1113619,111008,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,1,,1,,,
360g-cabinetoffice-faith_encounter_programme,1124521,8418,,1,,,,,,1,,,,,1,,,,,1,,,,,1,1,,,,1,,1,,,,
360g-cabinetoffice-families_forward,1139557,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,
360g-cabinetoffice-families_in_telford,1130708,30370,,1,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,1,1,,1,,,
360g-cabinetoffice-family_information_group,282399,278629,,1,,1,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,,,,
360g-cabinetoffice-fareshare_yorkshire,1075477,236163,1,1,,,1,,,,,,,1,,,,,,1,1,1,1,1,1,1,,,,,,1,,,,
360g-cabinetoffice-farringdon_detached_football_club,1142128,25324,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-fdm_for_disability_mobility,1067438,23226,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,1,,1,,,,
360g-cabinetoffice-fens_pool_voluntary_association,700518,16875,1,,,,1,,,,,,,,,,,,1,1,1,1,1,,,1,,,,,1,1,,,,
360g-cabinetoffice-fenton_cricket_club,1155045,20273,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-financial_fitness,SC029817,333785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-finsbury_park_community_hub,1121705,100857,,1,,,1,,,1,,1,,,1,,,,,1,1,,1,1,,,,,,1,1,1,1,,,
360g-cabinetoffice-fire_support_network,1124607,133301,1,1,1,1,1,,,,,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-fire_support_network,1124607,133301,1,1,1,1,1,,,,,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-fire_support_network,1124607,133301,1,1,1,1,1,,,,,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-first_asian_support_trust_(fast)_ltd,1095379,57910,,1,,1,,,,,1,,,,1,,,,,1,1,1,1,,,1,,,,,,1,1,,,
360g-cabinetoffice-firth_park_centre_for_life,1100109,11973,,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,1,,,,,
360g-cabinetoffice-flower_estate_community_association,1093948,,,1,,,,,,,1,1,,,1,,,1,,1,1,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-flower_estate_family_action,1141800,35066,,1,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,1,,,,
360g-cabinetoffice-folkestone_migrant_support_group,1089235,,,1,,,,,1,,1,1,,,,,,1,,1,,,1,,,,,,,1,,,1,,,
360g-cabinetoffice-foodcycle,1134423,583779,1,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,1,1,,,
360g-cabinetoffice-forces_support_charity,1136954,,1,1,,,1,,1,,,,,,1,,,,,1,1,1,,,,,1,,1,1,,1,,1,,
360g-cabinetoffice-forward_thinking_with_football,1134549,24811,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-four_seasons_activity_group,1099112,,1,1,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,1,1,1,,,1,
360g-cabinetoffice-four_seasons_activity_group,1099112,,1,1,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,1,1,1,,,1,
360g-cabinetoffice-foxhole_youth_club,1099175,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-foyer_for_the_island,1077882,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,
360g-cabinetoffice-freddies_friends,1141940,17179,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,
360g-cabinetoffice-fresh_fields,1031940,159664,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,,,1,1,,1,,,
360g-cabinetoffice-fresh_horizons,1167809,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,1,,1,,,
360g-cabinetoffice-fresh_horizons,1167809,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,1,,1,,,
360g-cabinetoffice-fresh_horizons,1167809,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,1,,1,,,
360g-cabinetoffice-friary_community,507777,6701,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,
360g-cabinetoffice-friends_and_residents_of_buffery_park,1141818,16997,1,1,,1,1,,,,,1,,,,,,,,1,1,1,1,,,1,,,,,1,1,,,,
360g-cabinetoffice-friends_of_barncroft,702914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360g-cabinetoffice-friends_of_beaumont_park_ltd,1129268,91218,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,1,,,
360g-cabinetoffice-friends_of_bowling_park,1156565,28955,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,
360g-cabinetoffice-friends_of_bruce_castle,1094201,13684,,1,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,,,,,,
360g-cabinetoffice-friends_of_bruce_castle,1094201,13684,,1,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,,,,,,
360g-cabinetoffice-friends_of_brunswick_park,1117379,1291,,1,1,1,,,,,1,1,,1,1,,,1,,1,1,1,1,1,,1,,,,,1,,,,,1
360g-cabinetoffice-friends_of_burgess,1118153,6489,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,
360g-cabinetoffice-friends_of_cedar_park,1135741,22874,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
360g-cabinetoffice-friends_of_debdale_park,1154238,19676,,,1,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,1,1,,,1,
360g-cabinetoffice-friends_of_debdale_park,1154238,19676,,,1,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,1,1,,,1,
360g-cabinetoffice-friends_of_devonport_park,1155177,19875,1,1,1,,,,,,,1,,1,,,,1,,1,1,1,,1,,1,,,,1,1,,1,,,
360g-cabinetoffice-friends_of_firshill,1150510,,1,1,,,1,,,,,,,1,,,,1,,1,,,1,,,,,,,,,1,,,1,
360g-cabinetoffice-friends_of_high_hazels_park,1090071,599,1,1,,,,,,,1,1,,1,1,,,,,1,1,1,1,,,1,,,,1,1,,,,,
360g-cabinetoffice-friends_of_hollybush,292371,5442,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
360g-cabinetoffice-friends_of_kearsley_mount_cottage,1162500,,1,1,,1,,,1,,,,,,,,,,,1,1,,,1,,1,,,,1,1,,,,,
360g-cabinetoffice-friends_of_kensal_rise_library,1141606,17730,1,1,,,,,,,1,,,1,1,,,1,,,,,,,,1,,,1,1,,1,1,,,
360g-cabinetoffice-friends_of_locke_park,1167140,0,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-friends_of_milefield,1155357,2236,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1
360g-cabinetoffice-friends_of_page_park,1158230,5290,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-friends_of_pickering_park,1150121,1211,,,,,,,,,,1,,1,,,,1,,1,1,1,,,,1,,,,,1,1,,,,
360g-cabinetoffice-friends_of_richmond_park_sheffield,1141694,7649,1,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,1,1,,,,
360g-cabinetoffice-friends_of_ruskin_park,1166358,10424,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-friends_of_sandall_park,1120679,12065,,1,,,,,,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,1
360g-cabinetoffice-friends_of_st_martins_church,253392,3365,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,
360g-cabinetoffice-friends_of_stranton,1142881,6414,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
360g-cabinetoffice-friends_of_teesdale_park,1143274,1000,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-friends_of_wincobank_hill,1168993,0,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,1,,,
360g-cabinetoffice-friends_of_wombwell_cemetery,1156569,11751,1,1,,,,,,,,,,1,,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-friends_of_zetland_lifeboat,1153465,6151,1,1,,,,,,,1,,,1,,,,1,,1,1,1,,1,1,1,,1,1,,,,1,1,,
360g-cabinetoffice-gahu_dramatic_arts,1111241,24038,1,1,1,1,,1,1,,1,1,,,1,,,,,1,1,1,1,,,1,,,,1,,1,,,,
360g-cabinetoffice-galloway's_society_for_the_blind,526088,1225945,,1,1,1,,,1,,,1,,,,,,,,1,1,1,,,,,1,,,1,1,1,1,,,
360g-cabinetoffice-garston_adventure_playground,1103838,81744,,,,,,,,,1,1,,,1,,,,,1,,1,,1,,,,,,,1,,1,,,
360g-cabinetoffice-garston_urban_village_hall,1071148,75132,1,1,1,1,1,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-garston_urban_village_hall,1071148,75132,1,1,1,1,1,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-gasworks_dock_partnership,1141523,80515,,,,,,,,,1,,,1,1,,,,,,,,,,,1,,,,,1,1,,,1,
360g-cabinetoffice-gateway_church_barnsley,1144050,73687,1,1,,,1,,,1,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,
360g-cabinetoffice-gautby_road_play_and_community_centre,1060958,38898,,1,1,1,,,1,,1,1,,1,1,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,,1,
360g-cabinetoffice-gears+,1123655,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-gemini_pcc_abc,1153058,45743,1,,,,,,,,,1,,,,,,,,1,1,1,1,,,1,,,,,1,1,,,,
360g-cabinetoffice-genesis_community_foundation,1109918,40452,1,1,,1,1,,1,,1,1,,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,
360g-cabinetoffice-gensing_and_central_st_leonards_community_forum,1137369,12222,1,1,,,,,,,1,,,1,1,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,
360g-cabinetoffice-george_road_baptist_church,1139836,183051,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,
360g-cabinetoffice-get_up_and_go,1159640,,,,1,,,,,,,,,,,,,1,,1,,1,1,,,1,,,,,,1,,,,
360g-cabinetoffice-getaway_girls,703003,213745,,1,,,,,,,1,1,,,,,,,,1,,1,1,,,,,,,1,1,1,1,,,
360g-cabinetoffice-getaway_girls,703003,213745,,1,,,,,,,1,1,,,,,,,,1,,1,1,,,,,,,1,1,1,1,,,
360g-cabinetoffice-gingerbread_corner,278093,973476,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,
360g-cabinetoffice-gipton_together,1142650,89439,,,1,,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,
