Recipient Org:Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360g-cabinetoffice-allandale_youth_works,520131,0,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-al-nisaa,1144059,3412,,1,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,1,,,,
360g-cabinetoffice-alternatives_trust_east_london,1103724,148041,,1,1,,1,,1,,,,,,,,,,,1,,,,,1,1,,,,,,1,1,1,,
360g-cabinetoffice-alum_rock_elders_support,1149343,89709,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
360g-cabinetoffice-amazing_play,1109383,5800,1,,,,,,,,,,,1,,,,1,,1,,1,,,,1,,,,,1,,,,,
360g-cabinetoffice-amazing_play,1109383,5800,1,,,,,,,,,,,1,,,,1,,1,,1,,,,1,,,,,1,,,,,
360g-cabinetoffice-amazing_play,1109383,5800,1,,,,,,,,,,,1,,,,1,,1,,1,,,,1,,,,,1,,,,,
360g-cabinetoffice-amber_valley_cvs,1102412,563801,1,1,,1,,,,,,,,,1,,,,,1,1,1,,1,1,1,,1,,1,1,1,1,,1,
360g-cabinetoffice-ambition_lawrence_weston,1152237,265787,,,,,1,,,,,,,,,,,,,1,1,1,,,1,,,,,,,1,,,1,
360g-cabinetoffice-amblecote_christian_centre,1052758,,1,,,,1,1,,1,,,,,,,,,,1,1,1,1,1,,1,1,1,,1,,1,,,,
360g-cabinetoffice-anand_milan_centre,1117162,41862,1,1,1,1,1,,,1,1,1,,,,,,,,,1,1,1,1,,1,,,,,,1,1,,,
360g-cabinetoffice-andover_brightstart_centre,1121292,104476,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,
360g-cabinetoffice-anfield_breckside_community_council,1112988,106712,1,1,,1,1,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-anfield_breckside_community_council,1112988,106712,1,1,,1,1,,,,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1
360g-cabinetoffice-anode_connect,1129899,161962,1,1,1,1,1,,,,,,,,1,,,,1,1,1,1,,1,1,1,,,,1,1,1,1,,,1
360g-cabinetoffice-anss,1163027,49590,,1,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,1,1,1,1,,1,
360g-cabinetoffice-apna_ghar_men,1013583,85507,1,1,1,1,,,,1,1,1,,,1,,,,,1,1,1,1,1,,,,,,1,1,1,1,,1,
360g-cabinetoffice-apna_haq,1169502,177344,,1,,,1,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,1,,,
360g-cabinetoffice-apna_sahara,1101529,,,1,1,,,,1,1,1,,,,1,,,,,1,1,1,1,1,,1,,,,1,1,,1,1,,
360g-cabinetoffice-apni_sehath,1139296,,,1,1,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,1,1,,,
360g-cabinetoffice-apsara_arts,1103414,40072,1,1,,,1,,,,1,1,,1,,,,,,1,,,1,,,1,,,,,,1,1,1,,
360g-cabinetoffice-arcola_theatre,1108613,1123900,,1,,,,,,,1,,,,,,,,,1,1,,1,,1,1,,1,,,1,1,,,,
360g-cabinetoffice-arkwright_meadows_community_gardens,1152966,126412,,1,1,,1,,,,,,,1,1,,,1,,1,1,1,1,,,,,,,,1,1,,,,
360g-cabinetoffice-armley_common_right_trust,223900,8952,1,,,,,,,,,1,,1,,,,,,1,1,1,,,1,1,,,,,1,,,,,
360g-cabinetoffice-armley_helping_hands,1076692,265669,1,1,1,1,1,,,,,1,,,1,,,,,,1,,,,,1,,,,1,1,1,1,,,
360g-cabinetoffice-armley_juniors_project_4_young_people,1153983,87630,1,1,,,1,,1,,,,,1,1,,1,1,,1,1,1,,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-armley_juniors_project_4_young_people,1153983,87630,1,1,,,1,,1,,,,,1,1,,1,1,,1,1,1,,1,,1,,,,1,1,1,1,,1,
360g-cabinetoffice-armthorpe_miners_welfare_scheme,523472,51756,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360g-cabinetoffice-around_again,1149627,2567,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
