Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360G-blf-A4E_2_010104736,1061986,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,
360G-blf-A4E_2_010106470,1154766,757908,1,1,1,1,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,1,1,,,
360G-blf-A4E_2_010100737,214015,140632,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,1
360G-blf-A4E_2_010101906,282684,43424,1,1,,,,,,,1,,,,,,,,,1,,1,1,,,1,,,,,,,,,1,
360G-blf-A4E_2_010103196,1120788,4612,,,1,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,
360G-blf-A4E_2_010105743,1080334,250074,1,1,1,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,,,
360G-blf-A4E_2_010103269,1043321,821665,,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,1,,,
360G-blf-A4E_2_010107819,1101174,74188,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-AAE_3_010106757,1095986,926,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
360G-blf-AAE_3_010107162,1029104,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-AAE_3_010107176,1033732,15471,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1
360G-blf-AAE_3_010106198,1072336,3540,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
360G-blf-AAE_3_010107358,1113758,170151,1,1,,1,1,,,,1,1,1,1,1,,,,,,,,,1,,1,,,,1,1,,1,1,1,
360G-blf-AAE_3_010106503,305575,11283,1,,1,1,,,,,1,1,,1,,,,,,1,1,1,,,,1,,,,,1,1,,,,
360G-blf-AAE_3_010105410,1055717,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,1,,1,
360G-blf-AAE_3_010105140,1044943,17042,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,1,
360G-blf-AAE_3_010106560,1030645,70227,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-AAE_3_010107789,263576,7847,,,,,,,,,,,,,1,,,,,1,1,1,,,1,1,,,,,1,,,,,
360G-blf-AAE_3_010107759,1096343,135113,,,1,1,,,,,,,,,,,,1,,1,1,1,,,,1,,,,1,,1,1,,,
360G-blf-AAE_3_010107412,1090755,3606,,,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
360G-blf-AAE_3_010104429,213443,2527,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,,,
360G-blf-AAE_3_010107714,1038418,30520,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
360G-blf-AAE_3_010105636,1040191,24665,,1,,,,,,,1,,,1,,,,1,,1,1,1,1,1,1,1,,,,,1,1,1,1,,
360G-blf-AAE_3_010104625,900083,137301,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,
360G-blf-AAE_3_010106897,205914,6653,,,,,,,,,,1,,,,,,,,1,1,,,1,,1,,,,,1,,,,,
360G-blf-AAE_3_010106146,1087835,1806,1,1,,,,,,1,1,1,,,,,,,,1,1,,,,1,,,,,,1,,,,,
360G-blf-AAE_3_010106807,283881,27082,,1,1,,,,,1,1,,,1,,,,1,,1,1,1,,,,1,,,,,1,,1,1,,
360G-blf-AAE_3_010106825,202524,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,
360G-blf-AAE_3_010107350,1029667,77967,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_3_010109837,1082059,193115,,1,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,
360G-blf-A4E_3_010109018,1102292,58020,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,
360G-blf-A4E_3_010108568,1018767,6296,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010108834,288904,2370,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
360G-blf-A4E_3_010107925,521518,61797,,1,,,,,,,1,1,,,,,,1,,1,1,,,1,,1,,,,,1,,,,1,
360G-blf-A4E_3_010109755,1046066,363073,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,
360G-blf-A4E_3_010110602,1110164,191538,,1,1,1,1,,,,1,1,,1,,,,,,1,1,1,,,,1,,,,1,1,1,1,,,
360G-blf-A4E_3_010107879,1086665,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,,
360G-blf-A4E_3_010109578,1077126,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,1,1,1,,
360G-blf-0030033793,1100339,,1,1,,,,,,,1,,,,,,,,,1,1,1,1,1,,1,,1,,,1,,,,,
360G-blf-A4E_3_010109054,296051,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,
