Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360G-blf-0030000567,1117064,7890,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,
360G-blf-0030000872,281710,5485,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030075134,SC032399,8933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075972,SC009179,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075899,SC020356,41019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030002556,1015886,7286,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,
360G-blf-0030001134,1030016,44506,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,
360G-blf-0030002503,1104364,34287,1,,,1,,,,,,,,1,1,,,,,,1,1,,,,1,,,,,,1,1,,1,1
360G-blf-0030002849,1089343,174392,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,
360G-blf-0030075021,SC028393,173003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030076110,SC030005,145030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030076135,SC008220,3512227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075280,SC012531,12365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075165,SC023796,484027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075771,SC038359,30364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030001949,SC001181,85597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075207,SC008983,12960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075016,SC038932,2507132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030002588,302586,4845,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1
360G-blf-0030002397,1031231,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030000014,266673,368365,1,1,1,1,,,,,1,1,,,1,,,,,1,1,1,,1,,1,,,,1,1,1,1,,1,
360G-blf-0030002620,1115790,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,1
360G-blf-0030005186,200214,22330,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,1,,,,,
360G-blf-0030005178,1092491,,,1,1,1,1,,,,,1,,,1,,,,,1,,1,1,,1,1,,,,,,,1,1,1,
360G-blf-0030000749,1105541,72820,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,
360G-blf-0030000602,292207,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,1,,1,,,,
360G-blf-0030004779,289934,214751,,1,,,,,,1,1,1,,1,,,,,,1,1,1,1,,1,1,,,,,,,,,,1
360G-blf-0030005296,294421,80997,,1,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,1,,1,,,,
360G-blf-0030005214,1113479,0,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,,,
360G-blf-0030005304,1117497,9734,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
360G-blf-0030001058,1038962,77108,,1,,1,,,,,1,1,,,,,,,,1,1,1,,,,,,,,1,1,1,1,,,
360G-blf-0030001974,1112763,15255,,1,1,1,,,,,1,1,,,1,,,,,1,1,1,,1,,1,,,,1,,1,1,1,1,
360G-blf-0030002308,302245,27542,,1,,,,,,1,1,1,1,1,,,,,,1,,,,,,1,,,,1,1,1,,,,
360G-blf-0030000533,1108504,341749,1,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,1,1,,1,,1,1
360G-blf-0030000170,1079719,645078,1,1,,1,1,,1,,,,,,,,,,,1,1,1,,,,1,,,,,,,1,,,
360G-blf-0030002811,1067613,0,1,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,
360G-blf-0030002965,250187,1344472,1,1,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,1,1,,1
360G-blf-0030000058,1097454,295021,1,1,,1,,,,1,1,,,,1,,,,,1,1,1,,,,1,,,,,1,1,1,,,
360G-blf-0030010095,1101943,9385,,1,,1,,,,,1,1,,,,,,1,,1,1,1,1,,,1,,,,,1,,,,,
360G-blf-0030000721,1013154,32233,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030074920,1058078,0,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030004812,210760,53819000,1,1,1,1,1,,1,,,,,,,,,,,1,1,1,,,1,,1,1,,1,,1,1,,,
360G-blf-0030000324,1031447,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1
360G-blf-0030076209,518066,5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075880,1055806,14711,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030005324,215665,282881,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,,1,,,
360G-blf-0030000204,305969,3013658,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,
360G-blf-0030000002,1043700,112624,,1,1,1,1,,,,,,,,,,,,,,1,1,,,1,,,,,1,1,1,1,,,
360G-blf-0030000648,523028,3565,,,,,,,,1,1,1,,,,,,1,,1,1,1,,,,1,,,,1,1,,,,,
360G-blf-0030000271,1069945,264974,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
360G-blf-0030000477,1003906,5265541,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,,
360G-blf-0030000700,1105270,617590,,,,,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,
360G-blf-0030076448,508816,3161,1,,,,,,,,,1,,,,,,,,1,1,,,1,,1,,,,,,1,,,,1
360G-blf-0030000630,304509,9372,1,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,1,1,,,,,
360G-blf-0030075707,1101211,147949,1,,,,,,,,,1,,,1,,,,,1,1,1,,1,,1,,,,1,1,1,1,,,
360G-blf-0030005401,1081199,297364,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,
360G-blf-0030080285,1097324,2699,,1,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,1
360G-blf-0030002655,1088379,38911,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,1,1,,,1,
360G-blf-0030000723,1058923,10379,,,,,,,,,1,1,,1,,,,,,,,,,1,,1,,,,,1,,,,,
360G-blf-0030075854,208075,0,1,1,,,,,,1,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,,
360G-blf-0030000592,1110753,19971,1,1,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,1,1,1,,,
360G-blf-0030000159,1000630,,,,1,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,,,,
360G-blf-0030004718,1075747,,,1,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,1,1,1,,,
360G-blf-0030000474,301589,9405,,,,,,,,1,1,1,,,,,,1,,,,,,,,1,,,,,1,,,,,
360G-blf-0030000427,522769,249041,1,1,,1,,,,,,1,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,1,,,
360G-blf-0030000314,523205,12250,1,,,,,,,1,1,1,,,1,,,1,,1,1,1,,1,1,1,,,,,1,1,,,,
360G-blf-0030076013,524286,4216,1,,,,,,,,1,1,,1,,,,1,,1,1,1,,1,1,1,,,,,1,1,,,,
360G-blf-0030000125,300842,14709,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030000123,522578,13003,1,1,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,,1,,,,,
360G-blf-0030075795,1062856,29270,1,1,,,1,,1,,,,,,1,,,,,,,,,,,1,,,,1,1,,1,,,
360G-blf-0030000347,205186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030000518,1090824,279650,,1,,,1,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,1,1,1,
360G-blf-0030002579,528794,9880,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,
360G-blf-0030075237,1115767,4954,1,,,,,,,,1,,,1,,,,1,,1,1,1,,,,1,,,,,1,,,,,1
360G-blf-0030004663,1079581,731244,1,1,,,1,,,,1,1,,1,1,,,,,1,1,1,1,,1,,,,,1,1,,1,1,1,
360G-blf-0030075644,217279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360G-blf-0030075270,1001271,112870,,1,,1,,,,,,,,,1,,,,1,1,1,1,,,,1,,,,,,1,1,,,1
360G-blf-0030080119,226227,114450000,,1,1,1,,,1,,1,1,,,1,,,,,1,1,1,,,,,1,1,,1,1,1,1,1,1,
360G-blf-0030076113,1063249,196595,1,,,,,,,,1,1,,,1,,,1,,1,1,1,,,,,,,,,,,,,1,
360G-blf-0030076312,1055340,,,1,,,1,,,1,,1,,,1,,,,,1,1,,1,1,1,1,,,,1,1,1,,,,
360G-blf-0030000158,1084211,1352412,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,
360G-blf-0030075287,1109221,209291,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,
360G-blf-0030075826,1055359,26996,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030000423,1037495,18502,,1,,,1,,,,1,1,,,1,,,,,1,1,,1,,,,,,,,1,1,1,,,
360G-blf-0030005143,1110615,102557,,1,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,1,1,1,,,,
360G-blf-0030000069,1088435,710945,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,
360G-blf-0030005196,1123814,0,1,1,1,,1,,1,,,,,,1,,,,,,1,,1,,,1,,,,1,1,,1,,,
360G-blf-0030000150,1067411,82865,1,1,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,1,,1,
360G-blf-0030002377,1117946,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030000322,1043588,686822,,,1,1,,,,,1,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,
360G-blf-0030000471,1094205,84335,1,1,,1,,,,,1,1,,,,,,,,1,1,1,,,,,,,,1,1,,,,,
360G-blf-0030002548,510730,302673,,1,,,,,,,1,,,,,,,,,1,1,,,1,1,1,,,,,,1,,,,
360G-blf-0030004894,292411,21777000,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,,
360G-blf-0030000486,517023,17831,1,,,,,,,,1,1,,,1,,,,,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-0030075603,1121799,53300,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,,,,
360G-blf-0030075716,504576,1927,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,1,,,,
360G-blf-0030002092,1103201,5000,1,1,,,1,,,,1,,,1,1,,,,,1,,,,1,1,1,,,,,1,,1,,1,
360G-blf-0030002415,700929,1852887,,1,1,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,,1,1,,,
360G-blf-0030003013,326730,6646852,,1,1,1,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,,,,1,1,1,,
360G-blf-0030000619,256391,,1,1,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,1,,,,,,
360G-blf-0030075828,1056805,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
360G-blf-0030000268,1086849,17514,,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,,,,,,,,,1,1,1,,,1
360G-blf-0030002737,1093430,,1,1,,,,,,,,,,,1,,,,,1,1,,1,,,1,,,,1,1,1,1,,1,
360G-blf-0030000389,518280,107276,,,,,,,,1,1,1,,,,,,,,,,,,1,,1,,,,,1,,,,,
360G-blf-0030000566,1137822,8609,,1,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,1,,1,1,,,
360G-blf-0030005280,501978,15490,1,,,,1,,1,,,,,,1,,,,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1
360G-blf-0030005282,272092,,,1,,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,1,,,,,
360G-blf-0030000875,1118242,273656,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,1,1,1,,,,
360G-blf-0030002508,1026487,198446000,1,1,1,,1,,1,1,,,,,1,,1,1,1,1,,,,,1,1,,,,,1,1,1,,1,1
360G-blf-0030000561,1139178,101005,,1,1,,,,,1,1,1,,,1,,,,,1,1,1,1,,,,,,,,1,1,1,,,
360G-blf-0030001238,1102431,9680186,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030000025,1021641,5846,,1,,,,,,,1,1,,1,1,,,,,,1,1,,,1,,,,,,,,,,,1
360G-blf-0030000003,1062008,225694,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,
360G-blf-0030000799,1054685,19699,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1,,,,,
360G-blf-0030000382,1092377,17606,,1,1,1,,,,,1,1,,1,1,,,,,1,1,1,,1,,1,,,,1,1,1,1,,1,
360G-blf-0030000488,1111845,19465,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-0030005125,518555,2517,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,
360G-blf-0030000050,219378,8508,1,,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,1,,,,,
360G-blf-0030000646,1118827,8142,1,1,,,,,,,1,1,,,,,,1,,1,1,,,1,,1,,,,1,1,,,,,
360G-blf-0030004792,1100214,627320,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,1,1,,
360G-blf-0030000165,1055415,96579,,1,,1,,,,,1,1,,,,,,,,1,,1,,,,,,,,,1,,1,,,
360G-blf-0030000534,518017,24306,,1,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,
360G-blf-0030000586,1027589,10977,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,,1,,,,,
360G-blf-0030002640,1036702,121082,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030004644,1097718,433925,,1,1,1,,,,,1,,,1,1,,,,,1,1,1,1,,1,1,,,,1,1,1,1,1,1,
360G-blf-0030000466,1111751,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,
360G-blf-0030002736,1125092,,1,1,1,,1,1,1,,1,1,,,1,,,,,1,1,,1,1,,,,,,1,1,1,1,,,
360G-blf-0030005452,1079881,172458,,1,,1,1,,,,,1,,,,,,1,,1,1,1,,,,,,,,,1,1,1,,,
360G-blf-0030001648,1080303,1000,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1
360G-blf-0030000196,1072216,1358786,,1,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,1,,1,1,,,
360G-blf-0030000669,1092502,160861,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,1,,,,,,,,1,1,,,,
360G-blf-0030000060,1121105,11313255,,1,,,1,,,,1,1,,1,1,,,,,1,1,1,1,1,,1,,1,,1,1,1,1,1,1,
360G-blf-0030002652,1080608,271455,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,1,1,,,
360G-blf-0030000576,1123105,0,,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1
360G-blf-0030005224,509558,3467,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,
360G-blf-0030000287,1118805,,1,1,,1,,,,,,,1,,,,,,,1,1,1,,,,,,,,1,1,,,,,
360G-blf-0030000778,1070854,603534,,1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,1,1,,,1
360G-blf-0030000691,1024838,5851557,1,1,,,,,,,1,,,,,,,,,1,1,,,,,1,,,,,1,,1,,,
360G-blf-0030000910,1120803,35298,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
360G-blf-0030002760,289094,7252,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,1,,,
360G-blf-0030000513,1108093,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
360G-blf-0030000116,1108819,,1,1,1,,,,,,1,1,,1,1,,,,,1,1,1,1,,1,1,,,,,1,1,,,,1
360G-blf-0030000095,1120584,0,,1,,,,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,1
360G-blf-0030002267,1048830,,,1,1,1,,,,,,,,,,,,,,,,1,1,,1,,,,,1,1,1,1,,,
360G-blf-0030002440,1108542,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
360G-blf-0030000793,1003591,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,1,,,,,
360G-blf-0030002268,297043,,,1,1,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,1,1,,,
360G-blf-0030005290,300891,15266,,,1,,,,,,1,1,,,1,,,,,1,1,,,,,1,,,,,1,,,,,
360G-blf-0030000032,1134696,500,1,,,,1,,,,1,1,,,1,,,,,,,,1,,,1,,,,1,1,,,,1,
360G-blf-0030000198,255095,1508336,,1,,,,,,,1,,,,,,,,,1,,,,,1,1,,,,,,1,,,,1
360G-blf-0030000269,1067832,80583,,1,,1,,,,,1,,,,,,,,,1,,1,,,,1,,,,,,1,,,,
360G-blf-0030002904,1112922,10460,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,
360G-blf-0030005081,1101496,605288,,1,,,,,,,1,,,,,,,1,,1,1,1,,,,1,,,,,,,1,1,,
360G-blf-0030002430,1122881,43298,,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,
360G-blf-0030002636,1054898,,1,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,1,1,1,,,
360G-blf-0030002452,281648,469251,,1,1,1,,,,,,1,,,,,,,,1,1,1,,1,,,,,,,1,1,,,,
360G-blf-0030000954,1075050,,,1,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,,,,
360G-blf-0030001221,1010583,183008,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030000607,701078,2066720,,1,1,,,,,,1,,,,1,,,1,,1,1,1,,1,,1,,,,,1,1,,,,
360G-blf-0030002230,1037586,23837,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
360G-blf-0030005140,1104862,,1,1,,,1,,,,1,1,,,1,,,,,1,1,,1,,,,,,,1,1,,1,,,
360G-blf-0030000063,528384,0,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,1
360G-blf-0030000381,1067120,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,
360G-blf-0030000508,1057027,40120,,1,,,,,,,,1,,1,1,,,1,,1,1,1,,,,1,,,,1,1,,,,,
360G-blf-0030076202,1111487,83591,1,1,1,,,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,,1,1,1,,
360G-blf-0030000072,1090566,7775,,1,,,,,,,,,,,1,,,,,,1,1,,1,,1,,,,1,1,1,1,,,
360G-blf-0030005176,234343,2955941,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,1,1,1,,
360G-blf-0030000504,527348,58438,1,1,,1,,,,1,1,,,1,1,,,1,,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-0030000101,1102375,388439,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,
360G-blf-0030002884,510881,145019,1,1,1,1,1,,,,1,1,,1,1,,,,,1,1,1,1,1,1,1,,,,1,1,1,1,,,
360G-blf-0030000068,1154861,203638,,,,1,,,,,,,,,,,1,,1,,,1,,,,,,,,,,1,1,,,
360G-blf-0030004971,1040883,48388,1,1,1,1,1,,,,,,,,1,,,,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,,
360G-blf-0030000403,522163,22335,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,1,1,,,,
360G-blf-0030005430,1063680,,,1,,,,,,,,1,,1,,,,,,1,,,,1,,1,,,,1,,,1,,,
360G-blf-0030002920,1106020,67939,1,1,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,1,,,,,,
360G-blf-0030000479,1144919,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-0030010250,1120612,7575,,1,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,1,,,
360G-blf-0030004628,1110465,21577,,,,1,,,,,,1,,,,,,,,1,1,1,1,,,1,,,,1,1,,,,,1
360G-blf-0030005010,1117749,214795,,1,,1,,,,,,1,,,,,,,,1,1,1,1,,,1,,,,1,1,,,,,
360G-blf-0030004866,1087845,17279,1,1,1,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,1,1,1,,,
360G-blf-0030000420,523578,14521,,,,,,,,,1,1,,,1,,,,,1,1,,,,1,1,,,,,1,,,,,
360G-blf-0030000317,1115207,148058,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,
360G-blf-0030000049,220854,57693,1,1,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,1,,,
360G-blf-0030002570,1040463,294251,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,1
360G-blf-0030000255,1113885,191362,1,1,,1,,,,,,,,1,,,,,,1,1,1,,1,,1,,,,1,1,1,1,,,
360G-blf-0030000525,1137726,,1,1,,,1,,1,,1,1,,,,,,,,1,,,1,1,1,,,,,,,1,1,,,
360G-blf-0030000297,513814,3458102,,1,,1,,,,,,1,,,1,,,1,,1,,1,,1,1,,,,,1,1,1,1,,,
360G-blf-0030000077,520278,57022,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1
360G-blf-0030005409,1120953,,,1,,1,,,,,,1,1,,,,,,,1,,1,,,,,,,,1,1,1,,,,
360G-blf-0030000224,1121203,,1,1,,,,,,,,1,,,1,,,,,1,,,,1,,,,,,,,1,1,,,
360G-blf-0030005428,1158551,51070,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,,
360G-blf-0030000596,1093585,5694,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
360G-blf-0030000247,285987,1703344,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,1,,1,1,,,1
360G-blf-0030001622,1112644,,1,,1,,,,,,,1,,,1,,,,,1,1,1,,,,1,,,,,,1,1,,,
360G-blf-0030001148,1081127,63,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360G-blf-0030004847,1119501,132198,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,
360G-blf-0030005376,1100017,18200,1,1,1,1,1,1,,1,,1,,1,1,,,,,1,1,1,,1,,1,,,,,1,1,1,,,
360G-blf-0030000089,1067000,,,1,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,
360G-blf-0030000632,1118147,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,
360G-blf-0030005478,1066885,24891,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,1,
360G-blf-0030000193,1062214,8346,,1,,,,,,,1,1,,1,,,,,,,1,,,1,,1,,,,,,,,,1,
360G-blf-0030002692,206186,16515000,,1,1,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,
360G-blf-0030002566,220966,293668,1,1,,,,,,1,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,,
360G-blf-0030005517,1116786,4060,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,
360G-blf-0030000402,519546,8419,,1,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,,1,,,,,,
360G-blf-0030000118,511917,10331,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,1
360G-blf-0030000323,511520,3201,1,1,,,,,,1,,1,,,,,,,,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-0030000578,211091,18408252,,1,1,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,,,
360G-blf-0030000168,529220,150899,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,1,1,,,,
360G-blf-0030004916,221018,7404,,1,,,,,,,,1,,,1,,,1,,1,1,1,,,,1,,,,,1,,,,,
360G-blf-0030000480,1046284,107193,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
360G-blf-0030000498,501698,7738,1,1,,,,,,,,1,,,,,,,,1,1,,,1,1,1,,,,,1,,,,,
360G-blf-0030005137,507014,89726,1,,1,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,1,1,,,
360G-blf-0030000245,1068850,3907670,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,1,,,
360G-blf-0030005003,1072902,194762,,1,,1,,,,,1,,,,,,,,,1,,1,,,1,,,,,,,1,1,,,
360G-blf-0030000588,1095120,1726067,1,1,1,1,,,1,,1,1,,,,,,1,1,1,1,1,,1,1,1,,,,1,1,1,1,,1,1
360G-blf-0030005008,523757,57222,,1,,,,,,,1,1,,,,,,,,1,1,,,,1,1,,,,,1,,,,,
360G-blf-0030000042,1013186,25458,1,1,,1,,,,1,1,1,,1,,,,,,1,1,1,,1,,1,,,,,1,,,,,
360G-blf-0030006541,234195,,1,1,,1,1,,,,1,1,,,,,,,,1,1,1,,,1,1,,,,,1,,,,,
360G-blf-0030000475,1075700,20639,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
360G-blf-0030001717,1090559,214813,,1,,,1,,,,1,1,,,1,,,,,1,,,1,,,1,,,,,1,1,1,,,
360G-blf-0030004895,1118921,2307,1,,,,,,,,1,1,,1,1,,,,,1,1,1,,,,1,,,,1,1,1,,,,
360G-blf-0030000098,1103228,,,1,,,,,,1,,1,,,,,,,,1,,,1,,,,1,,,1,1,,,,,
